timestamp,ip_address,username,status,password_attempted
2026-07-30T10:00:01Z,192.168.1.10,alice,SUCCESS,AliceSecureP@ss1
2026-07-30T10:05:12Z,192.168.1.105,admin,FAILED,admin123
2026-07-30T10:05:15Z,192.168.1.105,admin,FAILED,root
2026-07-30T10:05:18Z,192.168.1.105,admin,FAILED,123456
2026-07-30T10:05:22Z,192.168.1.105,root,FAILED,toor
2026-07-30T10:05:28Z,192.168.1.105,supervisor,FAILED,supervisor2026
2026-07-30T10:10:00Z,10.0.0.50,victim_user,FAILED,123456
2026-07-30T10:10:05Z,10.0.0.50,victim_user,FAILED,password
2026-07-30T10:10:10Z,10.0.0.50,victim_user,FAILED,victim123
2026-07-30T10:10:15Z,10.0.0.50,victim_user,FAILED,admin2026
2026-07-30T10:15:00Z,192.168.1.20,john_doe,FAILED,johnpassword
2026-07-30T10:15:04Z,192.168.1.20,john_doe,FAILED,johnpassword
2026-07-30T10:15:20Z,192.168.1.20,john_doe,SUCCESS,JohnsCorrectP@ss2026!
